#V2 CNUM  V1 CNUM    GLON      GLAT   V2 Field
#---------------------------------------------
      1        7    0.0036    0.0588    l000
      2        2    0.0056    0.2748    l000
      3        0    0.0076   -0.2572    l000
      4        3    0.0076   -0.1352    l000
      5        4    0.0076    0.1568    l000
      6        6    0.0096   -0.4312    l000
      7        2    0.0096    0.3048    l000
      8        5    0.0136   -0.0172    l000
      9        0    0.0156   -0.2452    l000
     10        8    0.0176   -0.0512    l000
     11        7    0.0196    0.0348    l000
     12        6    0.0276   -0.4352    l000
     13        8    0.0276   -0.0392    l000
     14        0    0.0336   -0.3492    l000
     15       16    0.0396   -0.2852    l000
     16       11    0.0416    0.2048    l000
     17       16    0.0456   -0.2952    l000
     18       14    0.0476    0.1128    l000
     19        4    0.0476    0.1628    l000
     20        0    0.0476    0.2548    l000
     21       20    0.0536   -0.2072    l000
     22       18    0.0536    0.0268    l000
     23       28    0.0556   -0.2792    l000
     24        0    0.0636   -0.4272    l000
     25       22    0.0656   -0.0772    l000
     26       21    0.0656    0.2108    l000
     27       23    0.0656    0.2408    l000
     28       28    0.0696   -0.2632    l000
     29       27    0.0696    0.0468    l000
     30        0    0.0716   -0.4272    l000
     31       26    0.0716   -0.1772    l000
     32       24    0.0716    0.1748    l000
     33       29    0.0776   -0.1472    l000
     34       42    0.0776    0.1268    l000
     35       31    0.0836    0.0748    l000
     36       34    0.0916    0.2448    l000
     37       36    0.0976   -0.1652    l000
     38       35    0.0996    0.0728    l000
     39        0    0.1016   -0.4152    l000
     40       37    0.1016   -0.1312    l000
     41       39    0.1076   -0.0832    l000
     42       40    0.1076    0.1988    l000
     43       41    0.1116    0.0028    l000
     44       42    0.1136    0.1468    l000
     45       44    0.1156   -0.4712    l000
     46       46    0.1176   -0.2352    l000
     47       43    0.1176    0.0868    l000
     48       46    0.1196   -0.2172    l000
     49       48    0.1196   -0.1112    l000
     50       49    0.1216    0.2648    l000
     51       42    0.1236    0.1648    l000
     52       50    0.1256   -0.5012    l000
     53       49    0.1316    0.2688    l000
     54       54    0.1376   -0.4892    l000
     55       57    0.1396   -0.0832    l000
     56       56    0.1396    0.0228    l000
     57       58    0.1416   -0.2872    l000
     58       52    0.1496   -0.2152    l000
     59       52    0.1516   -0.2072    l000
     60       60    0.1556   -0.1812    l000
     61       62    0.1616   -0.0392    l000
     62        0    0.1636   -0.5612    l000
     63       63    0.1636    0.0708    l000
     64       63    0.1636    0.0788    l000
     65       64    0.1656   -0.4472    l000
     66       66    0.1676   -0.1332    l000
     67       65    0.1676    0.1508    l000
     68       67    0.1696   -0.1932    l000
     69       68    0.1716   -0.2912    l000
     70       68    0.1736   -0.2912    l000
     71       69    0.1736    0.0188    l000
     72       70    0.1776   -0.0332    l000
     73       71    0.1796   -0.5332    l000
     74        0    0.1836   -0.5952    l000
     75       72    0.1836   -0.0032    l000
     76       73    0.1876    0.0828    l000
     77       74    0.1896    0.2308    l000
     78       77    0.1916   -0.3012    l000
     79       74    0.1916    0.2228    l000
     80       75    0.1936   -0.4652    l000
     81       76    0.1976   -0.1712    l000
     82        0    0.1996   -0.5472    l000
     83       77    0.2016   -0.3252    l000
     84       78    0.2036    0.0528    l000
     85       81    0.2096   -0.5152    l000
     86       84    0.2096   -0.0412    l000
     87       79    0.2096   -0.0012    l000
     88       80    0.2116   -0.1252    l000
     89       82    0.2136   -0.2552    l000
     90       83    0.2156   -0.0152    l000
     91       80    0.2176   -0.1372    l000
     92       85    0.2216   -0.2132    l000
     93        0    0.2216    0.2928    l000
     94        0    0.2236    0.2408    l000
     95       87    0.2256   -0.4752    l000
     96       88    0.2276    0.0728    l000
     97       89    0.2336   -0.0892    l000
     98       90    0.2416   -0.1912    l000
     99       91    0.2436   -0.0412    l000
    100        0    0.2436    0.1308    l000
    101       94    0.2476   -0.3412    l000
    102       94    0.2476   -0.3332    l000
    103       96    0.2476    0.0108    l000
    104       93    0.2516    0.2788    l000
    105       96    0.2576    0.0168    l000
    106      101    0.2596   -0.2792    l000
    107       98    0.2616   -0.3592    l000
    108      100    0.2636   -0.4112    l000
    109        0    0.2676   -0.1612    l000
    110      103    0.2756   -0.0632    l000
    111      104    0.2796   -0.3332    l000
    112        0    0.2796   -0.2252    l000
    113      106    0.2816   -0.4812    l000
    114      104    0.2816   -0.3452    l000
    115      107    0.2836   -0.5272    l000
    116      105    0.2836    0.1948    l000
    117      111    0.2916   -0.2712    l000
    118      109    0.2916   -0.0232    l000
    119      110    0.2936   -0.1112    l000
    120      112    0.2956    0.0428    l000
    121      111    0.2996   -0.2692    l000
    122      113    0.2996    0.1868    l000
    123        0    0.3056   -0.4192    l000
    124        0    0.3056    0.3728    l000
    125      114    0.3096   -0.1592    l000
    126      116    0.3176   -0.1992    l000
    127      115    0.3176   -0.0992    l000
    128      120    0.3216   -0.1272    l000
    129      119    0.3216    0.0108    l000
    130      118    0.3236    0.3788    l000
    131      121    0.3276    0.3928    l000
    132      125    0.3296   -0.2412    l000
    133      124    0.3316   -0.0732    l000
    134      123    0.3316   -0.0092    l000
    135        0    0.3336   -0.4552    l000
    136      126    0.3336    0.1248    l000
    137      126    0.3396    0.0988    l000
    138      127    0.3416    0.0568    l000
    139      128    0.3536   -0.2452    l000
    140      129    0.3616   -0.2632    l000
    141      136    0.3616    0.2688    l000
    142      130    0.3656   -0.0832    l000
    143      134    0.3676   -0.1572    l000
    144      132    0.3716   -0.0092    l000
    145      133    0.3736   -0.1132    l000
    146        0    0.3756   -0.3572    l000
    147      136    0.3756    0.2488    l000
    148        0    0.3776   -0.5412    l000
    149      135    0.3776    0.0408    l000
    150      138    0.3796   -0.4072    l000
    151      135    0.3816    0.0568    l000
    152      139    0.3876   -0.2852    l000
    153      140    0.3896    0.0168    l000
    154      141    0.3936   -0.0832    l000
    155      142    0.3956   -0.0292    l000
    156        0    0.3996   -0.6032    l000
    157      144    0.4016    0.1608    l000
    158      143    0.4036   -0.1492    l000
    159      147    0.4076   -0.2832    l000
    160      146    0.4096   -0.2132    l000
    161      148    0.4116   -0.5032    l000
    162      149    0.4136    0.0508    l000
    163        0    0.4136    0.2548    l000
    164      145    0.4156    0.1768    l000
    165      150    0.4176   -0.5392    l000
    166      151    0.4196   -0.2552    l000
    167      153    0.4216   -0.1732    l000
    168      155    0.4236   -0.0532    l000
    169      154    0.4256   -0.1072    l000
    170      158    0.4456   -0.3512    l000
    171      158    0.4476   -0.3672    l000
    172      157    0.4476   -0.2192    l000
    173      160    0.4538   -0.5131    l001
    174      161    0.4538    0.1469    l001
    175      162    0.4538    0.2469    l001
    176      163    0.4558    0.1229    l001
    177        0    0.4578   -0.3031    l001
    178      165    0.4618    0.0929    l001
    179      167    0.4658   -0.1071    l001
    180      169    0.4698   -0.3371    l001
    181      170    0.4778   -0.0051    l001
    182      172    0.4898   -0.0591    l001
    183        0    0.4938   -0.3011    l001
    184      173    0.4938    0.0189    l001
    185      174    0.4958   -0.2091    l001
    186      175    0.4958    0.1889    l001
    187        0    0.4958    0.2949    l001
    188        0    0.4978   -0.4011    l001
    189      177    0.4978    0.1729    l001
    190      176    0.4998   -0.1011    l001
    191      178    0.5018   -0.3731    l001
    192      179    0.5038    0.3249    l001
    193        0    0.5058   -0.3031    l001
    194        0    0.5098   -0.2751    l001
    195      181    0.5098   -0.0771    l001
    196      173    0.5098    0.0049    l001
    197        0    0.5138   -0.3911    l001
    198      182    0.5158    0.0429    l001
    199        0    0.5178   -0.6111    l001
    200        0    0.5178   -0.3051    l001
    201      184    0.5198   -0.2451    l001
    202      184    0.5218   -0.2451    l001
    203        0    0.5238   -0.5571    l001
    204      185    0.5258   -0.4471    l001
    205      186    0.5258    0.1829    l001
    206      181    0.5278   -0.0831    l001
    207      187    0.5278    0.1269    l001
    208      188    0.5318   -0.1791    l001
    209        0    0.5318    0.2369    l001
    210        0    0.5338   -0.1631    l001
    211        0    0.5338    0.3529    l001
    212        0    0.5398   -0.2971    l001
    213      190    0.5418   -0.0011    l001
    214      193    0.5438   -0.0651    l001
    215        0    0.5478   -0.5691    l001
    216      192    0.5498   -0.3851    l001
    217      189    0.5498    0.0769    l001
    218        0    0.5498    0.2429    l001
    219      193    0.5538   -0.0651    l001
    220        0    0.5578   -0.2511    l001
    221      207    0.5598   -0.0271    l001
    222        0    0.5638   -0.2531    l001
    223        0    0.5638   -0.2431    l001
    224      196    0.5658    0.0249    l001
    225      195    0.5678    0.1529    l001
    226        0    0.5678    0.2689    l001
    227      198    0.5698   -0.1991    l001
    228      195    0.5698    0.1529    l001
    229      199    0.5738   -0.1271    l001
    230      197    0.5738    0.0789    l001
    231      199    0.5798   -0.1231    l001
    232      200    0.5818   -0.2591    l001
    233      203    0.5858    0.0109    l001
    234        0    0.5878   -0.5271    l001
    235        0    0.5898    0.3929    l001
    236      205    0.5918    0.1549    l001
    237      206    0.5938   -0.1091    l001
    238        0    0.5958    0.3569    l001
    239        0    0.5998   -0.4611    l001
    240      207    0.6018   -0.0331    l001
    241      208    0.6038   -0.5111    l001
    242        0    0.6058   -0.3351    l001
    243      209    0.6058    0.0029    l001
    244      213    0.6058    0.0969    l001
    245      212    0.6078   -0.1971    l001
    246      206    0.6078   -0.1411    l001
    247      205    0.6078    0.1729    l001
    248      214    0.6118   -0.2751    l001
    249      215    0.6118   -0.1791    l001
    250        0    0.6218   -0.4371    l001
    251      209    0.6218    0.0129    l001
    252      222    0.6218    0.0349    l001
    253      205    0.6218    0.1689    l001
    254      216    0.6238   -0.5411    l001
    255      218    0.6258   -0.0931    l001
    256        0    0.6318   -0.4251    l001
    257        0    0.6318   -0.3051    l001
    258      228    0.6318   -0.2231    l001
    259      220    0.6338   -0.4771    l001
    260        0    0.6358   -0.0231    l001
    261      220    0.6378   -0.4691    l001
    262      221    0.6378    0.1369    l001
    263      222    0.6458    0.0309    l001
    264      216    0.6478   -0.5131    l001
    265      223    0.6478   -0.0491    l001
    266      222    0.6478    0.0709    l001
    267        0    0.6498   -0.3411    l001
    268        0    0.6498   -0.3311    l001
    269        0    0.6518   -0.4171    l001
    270      222    0.6578    0.0949    l001
    271      225    0.6658   -0.1431    l001
    272      227    0.6658   -0.0331    l001
    273        0    0.6698    0.1429    l001
    274      226    0.6718   -0.0951    l001
    275        0    0.6758    0.3229    l001
    276      227    0.6778   -0.0271    l001
    277      227    0.6778   -0.0031    l001
    278        0    0.6778    0.1449    l001
    279      228    0.6798   -0.1671    l001
    280        0    0.6838   -0.2931    l001
    281      229    0.6838   -0.1251    l001
    282        0    0.6878   -0.3731    l001
    283        0    0.6918   -0.3471    l001
    284        0    0.6918    0.0889    l001
    285        0    0.6918    0.1029    l001
    286        0    0.6978    0.1289    l001
    287      228    0.7038   -0.1791    l001
    288        0    0.7058    0.1309    l001
    289        0    0.7058    0.3769    l001
    290        0    0.7178    0.1789    l001
    291      234    0.7218    0.0409    l001
    292      235    0.7238   -0.4291    l001
    293        0    0.7258    0.0949    l001
    294      240    0.7278   -0.2951    l001
    295      242    0.7298   -0.2611    l001
    296        0    0.7318    0.1329    l001
    297      239    0.7338   -0.1531    l001
    298        0    0.7338    0.1169    l001
    299      238    0.7358   -0.0931    l001
    300      241    0.7378    0.0049    l001
    301      240    0.7418   -0.3131    l001
    302      250    0.7478   -0.2211    l001
    303        0    0.7498    0.3229    l001
    304      244    0.7578   -0.0691    l001
    305        0    0.7598   -0.5531    l001
    306      246    0.7598   -0.2831    l001
    307      248    0.7598    0.0829    l001
    308      247    0.7618   -0.4151    l001
    309      250    0.7678   -0.2491    l001
    310      249    0.7678   -0.1071    l001
    311        0    0.7718   -0.5491    l001
    312      251    0.7718   -0.1851    l001
    313        0    0.7738    0.3309    l001
    314      254    0.7778   -0.0191    l001
    315      253    0.7798    0.0989    l001
    316      255    0.7818   -0.4771    l001
    317        0    0.7838    0.3029    l001
    318      257    0.7858   -0.2091    l001
    319      256    0.7858    0.0609    l001
    320        0    0.7878   -0.5491    l001
    321        0    0.7918    0.5029    l001
    322      258    0.7918   -0.1571    l001
    323        0    0.7938   -0.3851    l001
    324      260    0.7958   -0.0971    l001
    325      254    0.7958   -0.0211    l001
    326        0    0.8018   -0.5511    l001
    327        0    0.8018   -0.3851    l001
    328        0    0.8018    0.3389    l001
    329      259    0.8038   -0.0411    l001
    330        0    0.8078    0.2109    l001
    331      261    0.8098    0.0269    l001
    332        0    0.8118   -0.5111    l001
    333      262    0.8138    0.1529    l001
    334      267    0.8238   -0.3351    l001
    335      264    0.8278    0.4589    l001
    336      273    0.8278    0.2389    l001
    337      267    0.8298   -0.3491    l001
    338      266    0.8318   -0.1511    l001
    339      274    0.8318    0.0949    l001
    340        0    0.8338   -0.4351    l001
    341      268    0.8338   -0.1991    l001
    342      269    0.8358    0.1849    l001
    343      271    0.8398   -0.2271    l001
    344      270    0.8398    0.0189    l001
    345        0    0.8418   -0.5091    l001
    346        0    0.8418   -0.4391    l001
    347      273    0.8438    0.2489    l001
    348        0    0.8458   -0.3891    l001
    349      275    0.8498   -0.0031    l001
    350      276    0.8518    0.4689    l001
    351        0    0.8518    0.1189    l001
    352        0    0.8538   -0.4731    l001
    353      274    0.8538    0.1049    l001
    354      277    0.8558   -0.0911    l001
    355      277    0.8578   -0.0551    l001
    356      279    0.8598   -0.3551    l001
    357      280    0.8618   -0.0391    l001
    358      278    0.8658   -0.4591    l001
    359      281    0.8678   -0.4031    l001
    360        0    0.8698   -0.4811    l001
    361        0    0.8718    0.0729    l001
    362      279    0.8758   -0.3771    l001
    363      283    0.8778   -0.1911    l001
    364      291    0.8818   -0.2931    l001
    365      282    0.8818    0.0509    l001
    366        0    0.8818    0.1689    l001
    367      287    0.8878   -0.1151    l001
    368      288    0.8898   -0.1291    l001
    369      289    0.8918    0.1449    l001
    370      283    0.8918   -0.2071    l001
    371      292    0.8918   -0.0111    l001
    372      293    0.8938    0.1909    l001
    373      294    0.8998   -0.0591    l001
    374        0    0.9018   -0.2771    l001
    375      292    0.9018   -0.0251    l001
    376      298    0.9038   -0.1111    l001
    377      299    0.9058   -0.3071    l001
    378      300    0.9078    0.0269    l001
    379      302    0.9138    0.1129    l001
    380      304    0.9138   -0.4211    l001
    381      303    0.9158   -0.1531    l001
    382      305    0.9218   -0.2471    l001
    383      306    0.9238    0.1869    l001
    384      309    0.9238   -0.4671    l001
    385      308    0.9238   -0.3051    l001
    386      307    0.9258    0.0569    l001
    387        0    0.9278   -0.2811    l001
    388      317    0.9298   -0.0371    l001
    389      311    0.9298   -0.3351    l001
    390      313    0.9318    0.0049    l001
    391      312    0.9318    0.2149    l001
    392        0    0.9318    0.3109    l001
    393      315    0.9418    0.1309    l001
    394        0    0.9418    0.2609    l001
    395      316    0.9418   -0.3191    l001
    396      317    0.9458   -0.0791    l001
    397        0    0.9498    0.3609    l001
    398        0    0.9498   -0.5151    l001
    399        0    0.9518   -0.4931    l001
    400      319    0.9518    0.2169    l001
    401        0    0.9538   -0.5151    l001
    402      320    0.9598   -0.3671    l001
    403      335    0.9598    0.0369    l001
    404      324    0.9618   -0.1831    l001
    405      322    0.9638   -0.1311    l001
    406      321    0.9638    0.0609    l001
    407      323    0.9658   -0.0171    l001
    408      325    0.9678   -0.3351    l001
    409      324    0.9718   -0.1931    l001
    410        0    0.9718    0.2749    l001
    411      327    0.9738    0.1109    l001
    412      326    0.9758   -0.1591    l001
    413      327    0.9758    0.1389    l001
    414      331    0.9778    0.3829    l001
    415      334    0.9798   -0.2851    l001
    416      335    0.9798    0.0469    l001
    417      332    0.9798    0.2909    l001
    418      338    0.9838   -0.0191    l001
    419      336    0.9838    0.1629    l001
    420      341    0.9938   -0.0671    l001
    421      342    0.9978   -0.1731    l001
    422        0    0.9998    0.2209    l001
    423        0    1.0018   -0.4591    l001
    424      344    1.0018    0.0669    l001
    425        0    1.0038    0.3909    l001
    426      345    1.0058    0.1249    l001
    427      343    1.0058    0.2229    l001
    428      346    1.0078   -0.2391    l001
    429      351    1.0078    0.0349    l001
    430        0    1.0118   -0.4411    l001
    431      348    1.0118   -0.2071    l001
    432        0    1.0138    0.3989    l001
    433        0    1.0158   -0.3671    l001
    434        0    1.0158   -0.2831    l001
    435      349    1.0158   -0.1231    l001
    436        0    1.0178   -0.3411    l001
    437      350    1.0178    0.0709    l001
    438      357    1.0198   -0.0891    l001
    439        0    1.0238   -0.4591    l001
    440      351    1.0258    0.0309    l001
    441      352    1.0258    0.3149    l001
    442      353    1.0318   -0.2731    l001
    443      354    1.0378   -0.0171    l001
    444      357    1.0398   -0.0811    l001
    445      355    1.0438   -0.1251    l001
    446        0    1.0458    0.1149    l001
    447      357    1.0498   -0.0671    l001
    448        0    1.0518    0.1409    l001
    449        0    1.0538   -0.4551    l001
    450      359    1.0538   -0.2371    l001
    451      358    1.0538    0.3569    l001
    452        0    1.0558    0.0389    l001
    453      361    1.0578    0.0909    l001
    454      362    1.0618   -0.1711    l001
    455      363    1.0658   -0.1331    l001
    456      357    1.0658   -0.0751    l001
    457      364    1.0718   -0.2711    l001
    458      366    1.0798   -0.1771    l001
    459      367    1.0798   -0.0291    l001
    460      367    1.0818   -0.0511    l001
    461      364    1.0878   -0.2391    l001
    462        0    1.0878    0.3969    l001
    463      367    1.0918   -0.0271    l001
    464      369    1.0938   -0.3611    l001
    465      368    1.0958    0.3369    l001
    466      370    1.0998    0.0209    l001
    467      371    1.1038   -0.1411    l001
