  cnum                  name      glon_peak      glat_peak             ra            dec       glon_cen       glat_cen     maj     min     pos_ang     rad  flux_40  err_flux_40  flux_80  err_flux_80 flux_120 err_flux_120     flux     err_flux 
  7153       G109.995-00.282    109.9950189     -0.2815394    346.3469078     59.8994532    109.9942724     -0.2823089   22.92   19.85          77   38.32    0.265        0.034    0.674        0.072    0.836        0.103    0.826        0.093 
  7154       G109.997-00.088    109.9970155     -0.0875394    346.1960670     60.0781932    109.9946933     -0.0875030   32.95   29.28         143   66.46    0.131        0.028    0.388        0.058    0.686        0.090    0.820        0.103 
  7155       G110.003+00.330    110.0030084      0.3304607    345.8685753     60.4634024    110.0043036      0.3301551   23.81   15.79         104   28.41    0.051        0.025    0.140        0.051    0.229        0.078    0.156        0.048 
  7156       G110.003-00.074    110.0030151     -0.0735393    346.1958844     60.0934244    110.0079707     -0.0695759   27.65    9.79          95    null    0.053        0.026    0.211        0.053    0.464        0.082    0.107        0.043 
  7157       G110.003-00.248    110.0030180     -0.2475393    346.3345977     59.9338323    110.0007769     -0.2482717   22.79   15.09          57   24.07    0.094        0.032    0.216        0.065    0.246        0.096    0.249        0.063 
  7158       G110.016+00.270    110.0170095      0.2704609    345.9436036     60.4141494    110.0183057      0.2683843   32.50   29.49         105   66.20    0.152        0.027    0.473        0.059    0.756        0.090    0.898        0.106 
  7159       G110.039-00.284    110.0390168     -0.2835387    346.4290378     59.9150726    110.0390829     -0.2836013   21.95   18.21          54   33.64    0.046        0.026    0.139        0.052    0.187        0.078    0.142        0.048 
  7160       G110.045-00.028    110.0450134     -0.0275387    346.2363338     60.1523642    110.0426176     -0.0219091   28.73   23.29          14   51.84    0.057        0.024    0.173        0.049    0.260        0.074    0.287        0.062 
  7161       G110.061-00.110    110.0610139     -0.1095385    346.3313262     60.0835154    110.0588812     -0.1138870   18.28   10.31          80    null    0.044        0.024    0.148        0.049    0.269        0.075    0.048        0.025 
  7162       G110.061-00.170    110.0610145     -0.1695385    346.3790687     60.0284509    110.0593488     -0.1682314   25.83   15.94         134   30.81    0.036        0.024    0.107        0.047    0.175        0.071    0.137        0.047 
  7163       G110.070-00.214    110.0710145     -0.2135384    346.4323354     59.9920216    110.0736724     -0.2161466   44.80   16.52         157   46.32    0.044        0.023    0.120        0.046    0.209        0.070    0.196        0.053 
  7164       G110.073-00.088    110.0730133     -0.0875384    346.3358722     60.1084724    110.0681473     -0.0888048   34.14   24.97          11   60.87    0.124        0.029    0.384        0.060    0.698        0.093    0.692        0.094 
  7165       G110.075-00.192    110.0750142     -0.1915384    346.4222477     60.0138061    110.0768068     -0.1854733   20.53   17.68          88   30.53    0.043        0.022    0.136        0.045    0.246        0.069    0.145        0.044 
  7166       G110.087+00.126    110.0870113      0.1264617    346.1900884     60.3103286    110.0872887      0.1249413   43.97   21.24         179   61.89    0.150        0.029    0.468        0.062    0.714        0.093    0.879        0.107 
  7167       G110.087+00.084    110.0870116      0.0844617    346.2239224     60.2718210    110.0876881      0.0832133   25.45   16.18         164   31.46    0.083        0.028    0.211        0.056    0.352        0.085    0.250        0.060 
  7168       G110.097-00.066    110.0970125     -0.0655382    346.3625409     60.1381959    110.0923158     -0.0643833   37.36   26.39          78   66.78    0.537        0.043    1.372        0.101    1.935        0.145    2.514        0.191 
  7169       G110.105-00.030    110.1050121     -0.0295381    346.3485620     60.1744120    110.1025002     -0.0292607   29.08   17.95          34   40.57    0.097        0.027    0.248        0.054    0.363        0.081    0.358        0.067 
  7170       G110.113+00.050    110.1130115      0.0504619    346.2993080     60.2509972    110.1152725      0.0460920   59.60   35.93         141  105.07    0.742        0.056    2.204        0.150    3.447        0.231    6.015        0.412 
  7171       G110.126+00.086    110.1270112      0.0864619    346.2963164     60.2895951    110.1273065      0.0872189   24.52   20.48          42   41.60    0.102        0.030    0.296        0.061    0.498        0.093    0.382        0.074 
  7172       G110.141+00.084    110.1410111      0.0844620    346.3238394     60.2933293    110.1459667      0.0817469   24.37   11.31          79    null    0.050        0.028    0.181        0.056    0.366        0.086    0.084        0.035 
  7173       G110.156+00.238    110.1570109      0.2384620    346.2294773     60.4409612    110.1552811      0.2370388   34.40   18.33         129   46.25    0.056        0.026    0.160        0.053    0.283        0.079    0.270        0.064 
  7174       G110.203+00.010    110.2030101      0.0104619    346.4977766     60.2499675    110.2002129      0.0107146   19.97   13.33         163    null    0.069        0.023    0.177        0.046    0.260        0.069    0.145        0.038 
  7175       G110.207+00.022    110.2070101      0.0224619    346.4956238     60.2625714    110.2089781      0.0262134   26.80   17.09          14   35.85    0.068        0.023    0.201        0.047    0.327        0.072    0.228        0.052 
  7176       G110.228+00.956    110.2290170      0.9564616    345.7730343     61.1273129    110.2278613      0.9473806   25.39   13.60          38    null    0.058        0.024    0.161        0.048    0.260        0.073    0.152        0.041 
  7177       G110.228+00.958    110.2290170      0.9584616    345.7713556     61.1291413    110.2292789      0.9622353   23.94   12.81          51    null    0.058        0.024    0.156        0.048    0.253        0.073    0.111        0.038 
  7178       G110.237-00.008    110.2370093     -0.0075383    346.5750443     60.2468461    110.2349173     -0.0130883   31.00   19.28           3   45.92    0.063        0.021    0.192        0.044    0.337        0.066    0.211        0.047 
  7179       G110.251+00.032    110.2510095      0.0324615    346.5691983     60.2891260    110.2530720      0.0418605   13.84   11.26         108    null    0.038        0.023    0.175        0.048    0.428        0.074    0.054        0.028 
  7180       G110.254-00.578    110.2550030     -0.5775385    347.0534910     59.7291987    110.2515301     -0.5801302   24.93   15.46          56   27.84    0.055        0.025    0.136        0.050    0.217        0.075    0.170        0.049 
  7181       G110.257+00.018    110.2570092      0.0184615    346.5914513     60.2786227    110.2573585      0.0136397   39.98   33.70          40   81.31    0.177        0.025    0.549        0.056    0.891        0.086    1.275        0.122 
  7182       G110.331+00.006    110.3310077      0.0064604    346.7382570     60.2966576    110.3231748      0.0037723   46.31   18.71          82   56.14    0.093        0.021    0.206        0.043    0.286        0.064    0.397        0.067 
  7183       G110.509-00.914    110.5089696     -0.9135446    347.7715994     59.5158503    110.5128125     -0.9101670   44.37   22.91          31   66.31    0.070        0.026    0.210        0.052    0.347        0.078    0.432        0.082 
  7184       G110.516-00.884    110.5169698     -0.8835449    347.7638761     59.5466502    110.5190186     -0.8803917   31.95   21.41          34   51.75    0.044        0.025    0.148        0.050    0.287        0.075    0.211        0.057 
  7185       G110.537-00.550    110.5369812     -0.5495457    347.5496414     59.8633152    110.5300547     -0.5443993   32.86   14.96         120   29.92    0.040        0.028    0.120        0.056    0.200        0.084    0.182        0.058 
  7186       G110.546-00.438    110.5469851     -0.4375462    347.4829714     59.9706799    110.5493094     -0.4360741   21.31   16.00          92   26.69    0.050        0.027    0.142        0.054    0.217        0.082    0.148        0.050 
  7187       G110.609-00.892    110.6089589     -0.8915489    347.9380255     59.5738449    110.6093573     -0.8944689   22.24   18.56          23   34.78    0.060        0.023    0.161        0.047    0.219        0.070    0.180        0.047 
  7188       G110.787+00.370    110.7870240      0.3704406    347.3060439     60.8090233    110.7856137      0.3632597   24.90   16.96         152   33.64    0.067        0.024    0.216        0.048    0.413        0.074    0.148        0.044 
  7189       G110.795+00.382    110.7950250      0.3824401    347.3117486     60.8231747    110.8020788      0.3853184   48.44   26.34          43   77.18    0.106        0.024    0.321        0.051    0.518        0.077    0.706        0.097 
  7190       G110.882+00.022    110.8829988      0.0224336    347.7576612     60.5237655    110.8833043      0.0246477   29.68   22.12          45   50.78    0.070        0.019    0.194        0.038    0.285        0.058    0.296        0.052 
  7191       G110.893+00.560    110.8930413      0.5604328    347.3575466     61.0251465    110.8929904      0.5580984   27.23   17.02         156   36.05    0.045        0.022    0.121        0.043    0.173        0.065    0.161        0.047 
  7192       G110.903+00.534    110.9030396      0.5344320    347.3971521     61.0049558    110.8991050      0.5354295   19.64   16.91         107   27.37    0.048        0.020    0.116        0.041    0.161        0.061    0.136        0.039 
  7193       G110.983-00.982    110.9829079     -0.9815747    348.6903521     59.6284537    110.9810470     -0.9763589   60.77   23.75         135   80.81    0.103        0.022    0.315        0.047    0.505        0.071    0.803        0.098 
  7194       G111.013-00.994    111.0129030     -0.9935774    348.7542402     59.6281907    111.0168243     -1.0027182   21.57   15.39         130   24.52    0.032        0.021    0.092        0.042    0.172        0.064    0.082        0.034 
  7195       G111.057+01.080    111.0570984      1.0804183    347.2572612     61.5682619    111.0546607      1.0825641   27.07   19.36         111   42.21    0.180        0.053    0.455        0.108    0.686        0.162    0.614        0.131 
  7196       G111.082-00.976    111.0828960     -0.9755841    348.8703918     59.6703423    111.0924365     -0.9687634   40.07   27.61          57   71.73    0.066        0.022    0.179        0.045    0.274        0.067    0.446        0.076 
  7197       G111.103-00.884    111.1029029     -0.8835861    348.8413110     59.7633409    111.1035207     -0.8826526   37.63   29.80          38   72.73    0.113        0.022    0.367        0.047    0.631        0.073    0.817        0.090 
  7198       G111.119-00.878    111.1189017     -0.8775878    348.8666129     59.7747249    111.1274908     -0.8731175   22.01   14.17          38   14.37    0.062        0.023    0.233        0.048    0.458        0.075    0.125        0.042 
  7199       G111.156+00.580    111.1570543      0.5804081    347.8469525     61.1438831    111.1530793      0.5805956   31.80   22.40         126   53.60    0.060        0.019    0.191        0.040    0.319        0.060    0.324        0.056 
  7200       G111.162-00.690    111.1629170     -0.6895924    348.8126426     59.9658932    111.1628823     -0.6889297   29.45   20.47         135   47.18    0.077        0.026    0.219        0.052    0.350        0.078    0.331        0.068 
  7201       G111.167-00.606    111.1669258     -0.6055929    348.7591098     60.0456165    111.1698567     -0.6009730   30.17   26.37          44   58.63    0.075        0.025    0.219        0.050    0.391        0.076    0.394        0.073 
